path,trans,duration,note
voice/3040153000_mypage2,特异点……我们曾经还是敌人……呵，所谓命运，真是不可思议。,10,
voice/3040153000_mypage3,为什么我喜欢咖啡？……毕竟我第一次喝咖啡已经是两千年以前了。……那种久远的事情，我早就忘了。,15,
voice/3040153000_s1_halloween_mypage1,万圣节快乐……只是随口说说而已。,3,万圣
voice/3040153000_s1_halloween_mypage2,不给糖果就捣蛋……我才没有觉得很欢快。,4,
voice/3040153000_s1_halloween_mypage3,两千年间我都是一个人，对于孤独，早就已经习惯了。,7,
voice/3040153000_s1_valentine_mypage1,情人节快乐。偶尔吃点甜食也不错啊。,4,情人节
voice/3040153000_s1_valentine_mypage2,谢谢你的礼物。什么啊，就算是我也是会道谢的。,5,
voice/3040153000_03_mypage1,我自身的愿望吗……\n没想到只不过是那位大人的替代品的我，也会有承认自己的存在意义的一天……,10,终突
voice/3040153000_03_mypage2,天司长的羽翼和极彩色的羽翼，老实说，背负这两个羽翼对我来说是重担。\n但是聚集在我身上的羽翼，以及愿望，我是不会放手的。,14,
voice/3040153000_03_mypage3,引起灾厄的罪人到头来变成了新的天司长，真是讽刺啊。\n不……这也是大家信任我的结果吧。,14,
voice/3040153000_s1_birthday_mypage1,嗯？今天骑空艇的伙伴们特别坐立不安啊。\n原来如此，是姬塔你的生日啊,10,生日
voice/3040153000_s1_birthday_mypage2,一年一度被大家庆祝诞生的日子啊，对我来说是无缘的事情呢。,8,
voice/3710089000_mypage1,路西菲尔大人……\n您是怀着怎样的心情背负着这六枚羽翼的呢……\n我想要更加了解您的心情。,13,cd皮
voice/3710089000_mypage2,我曾经憎恨着自己作为天司长的备用品被制造出来的命运，完全没有预想过……预想过这一天真的会到来。\n没想到那位大人会有一天不在人世……,16,
voice/3710089000_mypage3,空之世界的咖啡经过不断的进化，香味和浓度都发生了多样的变化。\n其如同主张个性般的发展，就像在表现空之民本身的性质一样。,13,
voice/3710088000_mypage1,没想到他们会想邀请曾经给空之世界带来危机的我去参加空之民的晚会……甚至还给我准备了这样的衣服。\n特异点那家伙，太有干劲了。,14,周年皮
voice/3710088000_mypage2,怎样？可否愿意与我共舞一曲。\n……喂特异点！这本叫《晚会的秘诀》的愚弄人的书到底是什么东西！\n这种台词，在外面怎么可能说得出口！,12,
voice/3710088000_mypage3,穿着与平常不同的穿着享用的咖啡，味道也与平常不一样啊。\n偶尔穿这件衣服喝喝咖啡说不定也不错。,12,
voice/3040013000_mypage1,艾鲁斯特是个小国……不过是个很好的国家。,5,终突前
voice/3040013000_mypage2,看来我跟你们这样的好人很有缘分啊。,5,
voice/3040013000_mypage3,我一定要把祖国的复兴这事，告诉那个人。,4,
voice/3040013000_03_mypage1,小时候我曾经幻想过如果自己和亲人不是王族的话会怎样。\n不过完全没想到实际会变成那样。,11,终突后
voice/3040013000_03_mypage2,你问我母亲不在身边会不会寂寞，啊。\n……不寂寞呢。我身边有诺伊修和姐姐啊。\n意外的是，一开始就不在的话就不怎么会在意呢。,16,
voice/3040013000_03_mypage3,不管是葛姆·古拉斯还是蒂亚多拉大人的仪式，继承我的人们一定会需要它们的。为了那些人，不应该只靠口口相传，而应该制作资料保留下去啊。,15,
voice/3710017000_mypage1,来，姬塔。我们去夜晚的街上玩吧。唯有今晚要对姐姐大人和诺伊修，还有大家保密。,11,礼服皮
voice/3710017000_mypage2a,如果晚上你要出去玩的话，就由我来担当一夜的骑士吧。我们的团长如果出了什么事会让人很困扰的。,9,
voice/3710017000_mypage3,之前我说要去邻国视察游乐设施，然后姐姐大人就很高兴地准备起这套衣服了。我绝对不是去玩的啊……,11,
voice/3040013000_Valentine1,情人节快乐！,1,情人节
voice/3040013000_Valentine2,送给我巧克力？谢谢你的费心。,6,
voice/3040013000_birthday1,祝你生日快乐！,2,生日
voice/3040187000_mypage1,我从小就被身为猎人的父亲灌输了狙击的技巧。\n他跟我一起窝在山里好几天，教导我消除气息的方法还有判断气候的方法等技巧。\n虽然他很严格，但是托他的福才有现在的我。,17,光银
voice/3040187000_mypage2,哈——喝着热茶整个人就会放松下来，安下心呢。跟库库鲁、库姆优，还有你在一起的话，会更放松。,14，,
voice/3040187000_mypage3,我有时候会给重逢的双亲写信，他们好像很期待我写的旅行的记录。\n有几次我还在信里写了你的事……他们说你那么年轻还那么坚强，非常佩服。,18,
voice/3040197000_mypage1,等到下一次轮到我工作的时候，团长是不是已经抵达了伊斯塔尔西亚……我是不是成为了比现在更加优秀的亥神……？\n…不，是要为了这个目的更加努力啊。,21,首页
voice/3040197000_mypage2,阿妮拉做点心的时候，安琪拉和瓦姬拉都会高兴地活蹦乱跳。\n……我吗？嘛…也会有点喧闹的……因为很好吃啊。,12,
voice/3040197000_mypage3,从我懂事的时候，我就跟小野猪们在一起了。\n啊，你可别去问它们我小时候的事情啊,9,
voice/3040197000_birthday_mypage2,Happy Birthday！,1,生日
voice/3040197000_birthday_mypage1,生日快乐！,2,
voice/3040197000_birthday_mypage3,今天是你的生日啊~呵呵，觉得有点开心~,5,
voice/3040056000_mypage1,果然，泳装也得是红色才行啊~,2,泳装泽塔
voice/3040056000_mypage2,看着露莉亚酱的泳装，突然觉得连衣泳装也不错……,4,
voice/3040056000_mypage3,啊，团长~帮我背后涂一下防晒霜。\n为什么？因为晒伤了会很痛啊。,6,
voice/3040031000_mypage1,呵呵，我的眼睛很厉害吧。\n……不过，没法看见跟大家一样的景色，还是有点……寂寞。,11,终突前
voice/3040031000_mypage2,咦？露莉亚去哪了？我找到一家看起来挺好吃的蛋糕店，想找她一起去……,7,
voice/3040031000_mypage3,呐，姬塔，我喜欢露玛茜群岛的景色。下个目的地选那儿怎么样？呵呵。,8,
voice/3040031000_03_mypage1,我……一直在思考，普通到底是什么……\n村子的普通……城市的普通……如果有什么违反了的话，是不是就没有容身之处了……\n不过，十天众和姬塔的骑空团接受了我的一切，我很高兴。,27,终突后
voice/3040031000_03_mypage2,席尔瓦说我的眼睛很厉害。因为平常跟人提起岛的另一端的人的事情的时候，别人经常会觉得很不愉快，所以我很惊讶她这么说。,12,
voice/3040031000_03_mypage3,因为多管闲事伤害了别人这种事情……不管过了多少年都忘不了呢。,6,
voice/3710072000_mypage1,真开心……谢谢你带我来海边，姬塔。,5,泳装皮
voice/3710072000_mypage2,这个泳装啊，是为了突出十天众的感觉，才选了白色的。不过我曾经犹豫过要不要选黑的……呵呵，好看吗？,10,
voice/3710072000_mypage3,如果有一天……可以和十天众的大家一起来度假就好了……,5,
voice/3040031000_birthday1,Happy Birthday！\n呵呵，我想试试给你个惊喜。,6,生日
voice/3040141000_mypage1,修瓦利耶有时候有些强硬，让人不愉快……不过习惯了就觉得挺可爱的。\n被它敬慕也不觉得不舒服,9,首页
voice/3040141000_mypage2,修瓦利耶它……与其说是朋友，或许更适合用“同居人”来形容。,7,
voice/3040141000_mypage3,团长你有没有觉得那蜥蜴惹人烦的时候？,5,
voice/3030032000_birthday2,Happy Birthday！,1,生日，大概是光菲利sr
voice/3030032000_birthday1,生日快乐。,1,
voice/3040155000_mypage4,已确认团长以及格兰赛法其他成员的安全。由我来保护大家。,8,萝伯美
voice/3040155000_mypage2,这是士郎尚不成熟但付出了心血的技术结晶。这台机体是我的宝物。,8,
voice/3040155000_mypage3,如果，还能和贤治说话……,5,
voice/3030079000_Valentine1,情人节，快乐！,2,情人节
voice/3030079000_Valentine2,姬塔，我已成功购入了情人节用的巧克力。,5,
voice/3030079000_Valentine3,请求摄取情人节巧克力，请吃。,5,
voice/3030079000_birthday1,Happy——Bir——thday！,2,生日
voice/3030079000_birthday2,生日快乐！姬塔,2,
voice/3030079000_birthday3,我采购了旅行需要的物资作为生日礼物，准备有一天与你一起前往星之岛。,10,
voice/3040048000_birthday1,Happy Birthday！,1,生日
voice/3040048000_birthday2,对迎来了生日的姬塔，我将爱与你分享。,5,
voice/3040048000_birthday2,我就特别地将我至今为止写下来的几首爱之诗朗读给你听吧！,6,
voice/3040004000_birthday2,Happy Birthday！,2,生日
voice/3040178000_mypage1,姬塔阁下，露莉亚阁下，碧君。我理解你们因为休假所以感觉整个人被解放的心情。但是还请注意不要玩得太过，吃得太多，避免之后身体出问题。,12,泳诺
voice/3040178000_mypage2,姬塔阁下，请问有什么事？……啊，我是不准备下水的。这样万一有什么事的话能立刻对应……呜哇！……不要泼我水啊！,16,
voice/3040178000_mypage3,斯卡哈，你不能太小看水。确实，真龙会溺水是很难想象的事，但现在只是临时的容器啊。……啊啊，等下！不要连准备活动都不做就跳进水里啊！,14,
voice/3030096000_birthday1,生日快乐！,2,生日（同火sr）
voice/3040040000_mypage1,拯救世界……为了这个使命，我甚至可以抛弃生命。,6,终突前
voice/3040040000_mypage2,我并不喜欢战斗。我更喜欢做刺绣啊，做点心来过日子。\n……但是，为了保护人们，有时候战斗也是必需的。,12,
voice/3040040000_mypage3,我从碧大人身上感到……与过去给我启示的那个存在相同的气息……,6,
voice/3040040000_mypage4,为了成就大义，需要强大的力量。所谓强大的力量，是从每天努力积累中诞生的。,9,
voice/3040040000_03_mypage1,最初我收到了拯救世界的启示。但是，拯救世界到底是怎么回事，我甚至连这个都不明白。,14,终突后
voice/3040040000_03_mypage2,为了我没能拯救到的那些人，我也不会停下脚步。,6,
voice/3040040000_03_mypage3,我并不是喜欢战斗。即使如此，如果我拿起武器可以帮助到人们，那么也是逼不得已。,10,
voice/3040040000_birthday1,生日快乐。,1,生日
voice/3040040000_birthday2,Happy Birthday！,1,
voice/3040040000_birthday3,生日快乐。\n能像这样与你一起为你诞生的日子庆祝我很荣幸。\n希望你下一个生日我也能与你一起。,10,
voice/3040106000_mypage1,如果你想知道的话，我就告诉你这个世界的真相吧。,4,路西欧
voice/3040106000_mypage2,我的主人说过，我必须去成为为这个世界带来安宁和繁荣的光明……所以，就算是为了我，也请各位不要再争吵了！,15,
voice/3040106000_mypage3,我……做错了吗……,3,
voice/3040106000_mypage4,主人为何要将我创造得如此美丽呢……？,5,
voice/3040106000_s1_valentine1,情人节……吗？,2,情人节
voice/3040106000_s1_valentine2,把好意的象征用数量和金钱来衡量是值得羞愧的行为哦。,5,
voice/3040106000_s1_birthday1,Happy Birthday！,1,生日
voice/3040106000_s1_birthday2,往后我的加护也会与你同在。,4,
voice/3040106000_v_004,测试用字幕我的主人说过，我必须去成为为这个世界带来安宁和繁荣的光明……所以,6,
voice/3040045000_birthday1,Happy Birthday！,1,生日
voice/3040045000_birthday2,生日快乐。,1,
voice/3040045000_birthday3a,能与你一起庆祝你生日纪念日，我很高兴。,5,
voice/3030065000_v_birthday1,你，今天生日？,1,生日
voice/3030065000_v_birthday2,恭喜你！有什么想要的东西吗？那条鱼要不要？,4,
voice/3040148000_s1_birthday0,生日快乐！好不胆怯挑战一切是好事，不过不要勉强哦~,6,生日
voice/3040148000_s1_birthday1,小时候，我母亲在我生日的时候给我买了小鸟蛋糕。从那以后，我就对做成动物形状的甜点喜爱至极。,8,
voice/3040148000_s1_birthday2,生日的时候，我经常买一些比较贵的饰品，作为对自己的犒赏。,7,
voice/3040009000_birthday1,Happy Birthday~,1,生日
voice/3040009000_birthday2,祝贺你~姬塔你有朝大人前进了一步啊~\n哎？你问卡莉奥斯特萝的生日？\n真是的，卡莉奥斯特萝可是永远的少女啊，不会变老的~,18,
voice/3040009000_birthday4,生日吗……事到如今本大人是没什么兴趣去数年纪了，不过你还正常活着的时候可要珍视这种日子啊。\n因为这是重新审视自己的好机会。,16,
voice/3040099000_mypage1,狗？不，狼人吗。要摸的话得先去打个招呼……\n嗯？什么事？我只是在看化了装的孩子。,13,
voice/3040099000_mypage2,这不是万圣换装，是伪装，我在执行任务……\n是吗，你高兴的话就好。,11,
voice/3040099000_mypage3,吾之眷族啊，献上你的鲜血吧！\n嗯？因为我现在是吸血鬼啊。,8,
voice/3040069000_birthday1,Happy Birthday。,1,生日
voice/3040069000_birthday2,生日快乐。,1,
voice/3040069000_mypage1,你有什么事吗？,1,普通
voice/3040069000_mypage2,狗……好想摸个够……\n你在啊。没事。,8,
voice/3040069000_mypage3,我想要平稳和静寂，所以我才会隶属于组织。,7,
voice/3040151000_mypage1,那个……记得姿势是这样……手是放在这里的吧，\n还有……sugar time love…你在看什么呢！,13,情人节小美
voice/3040151000_mypage2,喂你等等，你喜欢什么样的巧克力？\n巧克力种类很多我有点搞不清，\n我，我才不是想送你巧克力呢！别误会了！,15,
voice/3040151000_mypage3,虽然是因为情人节才穿的这衣服，人间的文化还是挺出人意料的呢，\n嘛，正因为是我穿的这衣服才显得这么合适呢！,11,
voice/3040084000_mypage1,天空么。让我想起离开故乡随便搭上一条船就走的时候啊。啊，当然是偷渡了。,9,艾尔
voice/3040084000_mypage2,我听说了。你经历过很多战场吧。哼……真不错，让我沸腾起来了。,10,
voice/3040084000_mypage3,喂，你快管管碧和露莉亚！让他们别来烦我了！……你笑什么啊！,8,
voice/3040025000_birthday1,Happy Birthday！,1,生日
voice/3040025000_birthday2_1a,生日快乐！,1,
voice/3040025000_birthday2_2a,生日快乐！你诞生的日子，就让我也来为你庆祝一下吧。,7,
voice/3040092000_mypage1,团长，今晚有空吗？一起去看星星吧，肯定会很有趣的。,9,泳佐
voice/3040092000_mypage2,我想称霸海边所有的小吃摊位呢，你能陪我一起吗？,6,
voice/3040092000_mypage3,我喜欢被你抚摸下巴的感觉。不过不要太突然哦？否则我会吓到的。,9,
voice/3710048000_mypage1,经过与你一起旅行，我学到一件事。攻击有时候也会成为防御。\n为了保护世界的调停，可能会需要施展更加强大的力量吧。,18,zoe剑皮
voice/3710048000_mypage2,我的剑可以自由变换形状。铳、枪、斧、弓、短剑，还有其他各种……\n那些我都试了一遍，还是觉得剑用起来最合适。,17,
voice/3710048000_mypage3,盾牌我没有带来。不过你放心，我一定会用这把剑保护世界和你。,9,
voice/3710048000_v_038,要不要一起吃派？,2,
voice/3710096000_mypage1,与我一样显现于世的人……如果那个人会给世界带来危机，那么我就必须阻止他。,11,星友皮
voice/3710096000_mypage2,那名星晶兽少女成功与姐姐再会了啊……\n看着她的笑容，很不可思议地觉得内心暖洋洋的。,11,
voice/3710096000_mypage3,说句泄气话，对这无止尽的战斗，有时候我有时候会感到畏惧。\n但是只要你在我身边，我就能重新拿起剑。\n往后也请让我把背后托付给你，姬塔。,19,
voice/3030141000_birthday1,Happy Birthday！,2,生日（同sr）
voice/3030141000_birthday2,生日快乐。,1,
voice/3030141000_birthday8,年龄逐渐增长也不算坏事啊，虽然像我这样的年轻人说这话有点不适合。,5,
voice/3040063000_03_mypage1,托团长的福…我可能终于能认可自己了。谢谢你，团长。,10,mao
voice/3040063000_03_mypage2,被藏八的幻影囚禁、一直以来都迷失了自我。但是、从今以后我将真正地追寻至高境界,12,
voice/3040063000_03_mypage3,下次、不再和欧克托与芬芙酱一起聊天吗？我想一定会很有趣的,6,
voice/3040063000_mypage2,团长团长！和姐姐一起去锻炼吧！,5,
voice/3040063000_mypage4_b,呼…呼…呼啊啊？！想要瞑想的时候，又不知不觉睡着了啊…,13,
voice/3040063000_mypage1,阳光不错呀…呐、要不要和姐姐一起去晒太阳？,6,
voice/3040063000_birthday1,Happy Birthday！,1,生日
voice/3040063000_birthday2,生日快乐。,1,
voice/3040198000_mypage1,经常离开船我也觉得很抱歉，不过，我的归宿是这里。,7,暗usts
voice/3040198000_mypage2,我一直以来都冷淡处理一切，并把这行为错认为是觉悟。\n而正是团长你，告诉我它是错的。,15,
voice/3040198000_mypage3,耳朵……唉……你想摸的话就摸吧。,6,
voice/3040035000_birthday1,生日快乐。,2,生日
voice/3040035000_birthday2,是吗，今天是你的生日啊。\n祝你度过美好的一天。,7,
voice/3710098000_mypage1,希耶提那家伙……\n虽然他说这衣服是他全力制作的，但面具实在太显眼了。\n不过，穿起来感觉还不错。,12,假面浅蓝皮
voice/3710098000_mypage2,选手名……？\n啊，我现在不叫漆黑的断罪者，叫假面·浅蓝……\n本来我就没有选手名！,10,
voice/3710098000_mypage3b,这么华丽的面具不适合我……啊啊团长住手！我会在自己的房间脱面具的！,7,
voice/3040035000_mypage1,我并不是希望成为十天众才当上的……。\n有个非常烦人的家伙。,5,终突前
voice/3040035000_mypage2,沉睡在卡尔姆之里的财宝……？不知道,4,
voice/3040035000_mypage3,那个男人……也想这样驰骋在天空吗。,4,
voice/3040035000_mypage4,啊……你有……什么……事,5,
voice/3040035000_03_mypage1,如果那个男人看到现在的我，他会说什么呢……\n我觉得我现在有很多话想要对他说。,12,终突
voice/3040035000_03_mypage2,我非常清楚自己背负的罪孽，不可能忘记。\n这双手沾满鲜血……但即使如此，我也……,12,
voice/3040035000_03_mypage3,现在回想起来，六崩拳的声音映射出的是隔阂在我内心的黑暗,7,
voice/3710068000_mypage1,力量并不是值得炫耀的东西，而是伴随着责任的事情，如果这斗技大会能让人学到这件事就好了。,9,斗技大会皮
voice/3710068000_mypage2,现在我是漆黑的断罪者，除此之外什么都不是。\n喂！不要叫我名字！团长！,11,
voice/3710068000_mypage3,看来大家都没发现我是谁。\n没想到我还有变装的才能，这件事最惊讶的还是我自……啊！不！不要碰我！啊！住……住手……,13,
voice/3040057000_birthday1,Happy Birthday！,2,生日
voice/3990003000_s2_birthday1,Happy Birthday。,1,生日
voice/3990003000_s2_birthday2,生日快乐。,2,
voice/3990003000_s2_birthday0,吹蜡烛……看上去好开心。,4,
voice/3040112000_mypage1,可能是那家伙的弱点的情报，可不能放过啊。,4,暗泽塔
voice/3040112000_mypage2,虽然是那时候随便买的衣服，不过你不觉得挺不错吗？\n那家店看上去不错，下次带贝阿一起去好了。,8,
voice/3040112000_mypage3,这身衣服比铠甲轻很多，要说活动方便，也确实很方便。\n但是穿铠甲毕竟会有气势，铠甲我也很喜欢。,10,
voice/3040043000_WhiteDay1,白色情人节快乐！,2,白情
voice/3040043000_WhiteDay2,情人节的返礼？除了姐姐大人以外的礼物我都没有太大兴趣……暂且、先收下了、谢谢你。,11,
voice/3040043000_WhiteDay3,今天必须监视看看是否有以今天是白色情人节为借口在姐姐大人身边转来转去的家伙。,8,
voice/3040006000_birthday1,Happy Birthday！,1,生日（sr共通？）
voice/3040043000_birthday3,我做了生日蛋糕……啊不是，这是为了姐姐大人生日做预演，你可以不用担心。,8,
voice/3040043000_birthday4,姬塔将来总有一天会成为姐姐大人那样帅气的人？\n呵呵，那我就姑且期待一下吧。,11,
voice/3040043000_mypage1,修瓦利耶赐予了我力量。\n能够贯彻绝对的意志的力量。,6,mypage（无终突区分）
voice/3040043000_mypage2,啊哈哈，抱歉。\n我这个状态的时候感情总是会高扬起来。,6,
voice/3040043000_mypage3,我要用这力量，把姐姐大人变成俘虏……呵呵呵……,5,
voice/3040043000_mypage4,我要是用这把剑把一切都清除干净，姐姐大人会夸我吗？,5,
voice/3040043000_mypage5,那个蜥蜴……总有一天我要干掉他……,3,
voice/3710012000_mypage12,你不觉得，新年的空气清爽又凛然，让人感觉很舒服吗？,7,新年皮
voice/3710012000_mypage8_1,呵呵，团长你看怎样。朱红色非常鲜艳吧？一定很适合姐姐大人的发色……\n啊，不过姐姐大人的话凛冽的青色一定也很适合！,13,
voice/3710012000_mypage13,我已经很久没有在新年初始的时候这样心情激动了。\n因为之前当领主的时候，每年基本上都没什么变化。,9,
voice/3710036000_mypage1,呵呵呵，怎么样？今夜的我是圣夜的公主。只属于姐姐大人的公主！\n你觉得很意外吗，不过这也很正常。\n如果是要培养骑士的矜持的阿尔比昂领主的话，基本上都是把自己当成骑士的。\n但是即使是我，也不是没有少女一样的愿望。,26,圣诞皮
voice/3710036000_mypage2,呵呵……团长你的视线很热切啊。你这样盯着我看，我的身体也慢慢变热起来了。\n要让上火的身体冷静下来的话，来个圣夜散步大概很合适。\n当然，是团长，和……姐姐大人三个人一起。,20,
voice/3710036000_mypage3,啊哈……！你看到了吗！？与平常装扮不同的姐姐大人！\n看上去很凛然，还同时兼备了害羞和让人怜惜的样子，简直就是我心目中理想的圣夜的骑士！\n能够目睹姐姐大人这样的样子，那么这个圣夜也有了庆祝的价值。,19,
voice/3040070000_birthday1,Happy Birthday！,1,生日
voice/3040070000_birthday2,生日快乐！,1,
voice/3040080000_mypage1b,嗯？怎么了，团长？很在意我的衣服么？ 呵呵呵，不要客气……。来吧……想看就看，想碰就碰……随你喜欢……,17,暗贞
voice/3040080000_mypage2,呜……啊、啊……！好烫……好痛苦……！！那团火还在我体内燃烧……将那座村庄、将人们……燃尽的业火……！！,15,
voice/3040080000_mypage3,啊……团长好温暖……这就是生者的体温呢。这样依靠着你，我就能感到冰冷的心得到了些许慰藉……拜托了……暂时让我靠一会儿吧。,19,
voice/3040080000_birthday2,Happy Birthday。,1,生日
voice/3040080000_birthday1,生日快乐。,1,
voice/3040137000_mypage1,让人类堕落，夺回失去的尊严。这就是我的目标。,8,阿萨谢尔
voice/3040137000_mypage2,怎么每个人都一脸傻样！切……所以你们这些人类啊！,5,
voice/3040137000_mypage3,如果你一个人做不到，就让我来控制你。在我怀中变为龙吧！,8,
voice/3040137000_s1_birthday1,“Happy Birthday”算什么事！可恶的人类，我要让你们后悔诞生到这世上！,8,生日
voice/3040082000_birthday2,Happy Birthday。,1,生日
voice/3040082000_birthday1,生日快乐。,1,
voice/3040030000_s1_birthday2,Happy Birthday。,1,生日
voice/3040030000_s1_birthday3,生日快乐。,1,
voice/3040030000_s1_birthday0,从今往后，你也朝自己期望的那样不断成长就行了。为了让未来的自己不失望。,8,
voice/3040030000_s1_birthday1a,自己诞生的日子是个非常重要的日子。绝对不可以轻视哦。,7,
voice/3040023000_birthday1,Happy Birthday！,1,生日
voice/3040023000_birthday2,生日快乐！愿今天会是美好的一天。,4,
voice/3040023000_birthday3,生日快乐！我很高兴能为你庆祝生日。让我们把今天变成愉快的一天吧。,7,
voice/3030005000_birthday1,生日快乐。,1,生日
voice/3040033000_birthday1,Happy Birthday！,1,生日
voice/3040033000_birthday2,生日快乐！\n我不知道自己诞生的日子，说实话，有点羡慕你。,9,
voice/3040033000_birthday3,生日快乐。\n啊，我想到一个好主意！下一次……你来给我决定生日，为我庆祝吧！\n我期待着你的惊喜哦~呵呵呵,14,
voice/3040179000_mypage1,这件泳衣，是和安一起选的，那个...如何，合适吗？,9,泳装古雷雅
voice/3040179000_mypage2,哈...安身材这么好，穿什么都很合适，稍微有点羡慕呢,10,
voice/3040179000_mypage3,和大家一起来海边，很开心，能留下美好的回忆就好了,6,
voice/3040224000_mypage1,没想到过去曾经引起灾厄的我，现在会在海边流着汗水……\n全都是托那位大人的好意的福。,9,首页
voice/3040224000_mypage2,请问要不要来杯咖、咖啡？\n没想到营业是件那么难的事……,8,
voice/3040224000_mypage3,那个叫路西欧的男人，竟然顶着那张脸那么轻率地穿上了泳装。\n失礼也要有分寸啊。,8,
voice/3040010000_birthday1,Happy Birthday是也！,2,生日
voice/3040138000_mypage1,听说这衣服是很厉害的神器！不过它本来不是我来继承的神器，所以将来有一天会不会见到本应继承它的继承者呢~♪,11,
voice/3040138000_mypage2,空~空（狐狸叫声）♪　看啊看啊团长，是狐狸哦！空空~！,6,
voice/3040138000_mypage4,我是值得信赖的尤艾尔哦~！\n……虽然这么说，但这力量可以说是托大家的福才到手的，真是谢谢你，团长♪,12,
voice/3040049000_birthday2,Happy Birthday！,1,生日
voice/3040049000_birthday1,生日快乐！,1,
voice/3040159000_mypage1,席尔瓦姐她超不喜欢麻烦别人的~不过前几天她终于肯叫我帮忙了，我好高兴来着。但是呢，我还要成为更加可靠的人，继续努力才行！,12,库库鲁
voice/3040159000_mypage2,团长真的很可靠啊~。我经常忘记你年纪比我还小呢。不过，你完全可以依靠库库鲁姐姐呀？来吧！对我尽情撒娇也可以哦？,15,
voice/3040159000_mypage3,果然很小……很小啊！！不不不，库库鲁姐姐也还在长身体嘛。今后也会变得像席尔瓦姐还有库姆优那样大……呜哇！？团、团长你在啊！？,12,
voice/3040089000_mypage1,团长团长！是海哦！是海滨哦！唔呼呼…和姐姐一起玩乐吧♪,7,泳mao
voice/3040089000_mypage2,啊、看见了看见了、好大的鱼！大海真是好厉害呀！那样的大只生物也能在在里面畅游…会很美味吗？,10,
voice/3040089000_mypage3,想要睡午觉的话、不管什么时候都可以说哦？姐姐可以给你膝枕哦,6,
voice/3040129000_mypage1,这衣服怎么样，团长，欸，很合适？\n唔呼呼，真开心，能被团长这样说，我会加油的！,14,泳装五花
voice/3040129000_mypage2,团长，状态如何？虽然会有很多困难，但是团长的话一定可以渡过难关的，所以，加油！,8,
voice/3040129000_mypage3,呐呐团长桑，就让你在这海边见识一下我最可爱的一面吧！,8,
voice/3040098000_s1_birthday2,生日快乐。,1,生日
voice/3040098000_s1_birthday1,Happy Birthday！,1,
voice/3040098000_s1_birthday3,！？姬塔！？啊……那个，现在还是不要靠近这边比较好。\n理由是……总、总之我们先去那边吧！快走！,10,
voice/3040181000_mypage1_mix,该隐和蕾欧娜不知过得如何呢？\n那两人的话，应该无需担心吧。\n离开妾身这么久，也差不多感到寂寞了吧？要不要去看看他们呢？\n万万不可。绝不能入侵伊提巴。\n呵呵呵，别紧张，妾身只是开个玩笑。,21,芙利亚
voice/3040181000_mypage2_mix,这么一看，纳尔格兰德也有些稀奇的岛屿呢。\n听他们说，法塔格兰德的岛屿似乎更加特色鲜明。\n真想去团长他们的故乡看看。\n是啊，总有机会的。,19,
voice/3040181000_mypage3_mix,唔……哈……\n看着书睡着了么。如果我也来您身边躺下，您应该就不会着凉了吧。\n唔~……抓到你了！！\n唔……！原来您醒着么！,22,
voice/3040001000_s1_birthday0,Happy Birthday！,1,生日
voice/3040001000_s1_birthday1,生日快乐。,2,
voice/3040001000_s1_birthday5,Happy Birthday！。\n愿你的未来充满幸福！,6,
